City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,katabu,-4.9333,122.5167,25.01,94,100,2.64,ID,1734485909
155,posto fiscal rolim de moura,-13.0833,-62.2667,23.52,97,100,1.01,BR,1734485911
156,codrington,-38.2667,141.9667,18.17,52,0,5.74,AU,1734485913
157,hadibu,12.65,54.0333,23.03,80,77,6.17,YE,1734485914
158,thompson,55.7435,-97.8558,-22.91,77,0,2.57,CA,1734485915
159,pisco,-13.7,-76.2167,19.03,82,0,7.2,PE,1734485916
160,cam ranh,11.9214,109.1591,26.98,65,40,5.66,VN,1734485918
161,raja,8.4596,25.678,22.66,36,32,1.9,SS,1734485919
162,chum phae,16.5443,102.0992,21.7,61,12,1.68,TH,1734485920
163,weno,7.4515,151.8468,27.97,83,100,3.6,FM,1734485921
164,lerwick,60.1545,-1.1494,8.62,95,100,12.39,GB,1734485923
165,north bend,43.4065,-124.2243,15.09,63,100,4.63,US,1734485924
166,yinchuan,38.4681,106.2731,-5.91,70,100,2.72,CN,1734485925
167,vila velha,-20.3297,-40.2925,23.97,95,100,4.02,BR,1734485817
168,manokwari,-0.8667,134.0833,29.44,70,38,3.96,ID,1734485927
169,baruun-urt,46.6806,113.2792,-15.86,89,83,3.35,MN,1734485929
170,sao jose da coroa grande,-8.8978,-35.1478,26.36,81,98,2.94,BR,1734485930
171,north battleford,52.7834,-108.2847,-24.95,77,0,1.54,CA,1734485931
172,beyneu,45.3167,55.2,-0.55,91,83,4.85,KZ,1734485932
173,reggane,26.7158,0.1714,11.39,47,0,6.95,DZ,1734485934
174,joshimath,30.5667,79.5667,2.47,15,0,4.69,IN,1734485935
175,alice springs,-23.7,133.8833,31.75,19,8,6.69,AU,1734485936
176,cheney,47.4874,-117.5758,2.19,99,100,3.6,US,1734485937
177,uturoa,-16.7333,-151.4333,27.43,69,100,2.2,PF,1734485939
178,banfora,10.6333,-4.7667,21.03,17,35,2.47,BF,1734485940
179,itaituba,-4.2761,-55.9836,24.09,94,75,1.54,BR,1734485941
180,chonchi,-42.6128,-73.8092,15.07,89,100,0.94,CL,1734485942
181,sao vicente,-23.9631,-46.3919,22.77,26,33,0.23,BR,1734485655
182,nuuk,64.1835,-51.7216,-3.66,68,100,19.55,GL,1734485945
183,kupang,-10.1667,123.5833,29.32,89,75,3.6,ID,1734485829
184,hakodate,41.7758,140.7367,-2.83,59,20,3.09,JP,1734485947
185,am timan,11.0297,20.2827,21.28,20,47,2.97,TD,1734485948
186,qarauyl,48.9451,79.255,-14.12,66,85,3.47,KZ,1734485950
187,northam,51.0333,-4.2167,13.52,86,100,12.64,GB,1734485951
188,fada,7.25,4.0667,20.43,55,0,1.36,NG,1734485952
189,udangudi,8.4333,78.0167,26.16,77,100,0.97,IN,1734485953
190,impfondo,1.6381,18.0667,22.76,78,100,0.97,CG,1734485954
191,queenstown,-31.8976,26.8753,13.97,83,94,1.34,ZA,1734485956
192,brainerd,46.358,-94.2008,-3.99,79,100,3.09,US,1734485938
193,alotau,-10.3069,150.4462,31.18,61,100,4.0,PG,1734485958
194,salahonda,2.1019,-78.7217,26.12,86,88,5.34,CO,1734485959
195,goundam,16.4145,-3.6708,18.34,16,69,4.17,ML,1734485961
196,east london,-33.0153,27.9116,18.88,90,99,2.49,ZA,1734485962
197,hithadhoo,-0.6,73.0833,27.48,80,63,6.29,MV,1734485963
198,dunedin,-45.8742,170.5036,15.32,65,100,8.17,NZ,1734485964
199,margaret river,-33.95,115.0667,22.47,59,0,6.84,AU,1734485967
200,taltal,-25.4,-70.4833,18.3,77,9,1.08,CL,1734485968
201,rexburg,43.826,-111.7897,-1.01,100,100,1.54,US,1734485969
202,coahuayana de hidalgo,18.7,-103.6583,23.85,88,79,0.71,MX,1734485970
203,argayash,55.4888,60.8767,-6.54,92,100,6.02,RU,1734485971
204,naze,28.3667,129.4833,15.51,53,43,4.43,JP,1734485973
205,lewistown,40.5992,-77.5714,5.67,65,0,2.06,US,1734485974
206,mananjary,-21.2167,48.3333,23.57,87,100,2.97,MG,1734485975
207,camiri,-20.05,-63.5167,24.25,66,100,3.66,BO,1734485976
208,greenville,35.6127,-77.3663,15.07,96,100,0.0,US,1734485733
